task,segment,model_family,model_variant,total_parameters,parameters_source,gpu_model,num_gpus,hardware_source,inference_s_per_batch_test,inference_s_per_batch_active,inference_s_per_batch_passive,inference_ms_per_sample_test,inference_ms_per_sample_active,inference_ms_per_sample_passive,eval_batch_size,eval_total_time_s,test_num_samples,inference_source,log_source
age_classification,2s,ResNet,resnet34,7327783,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET34_age_2s/resnet34_age_2s.log,,,,0.6930246542393266,1.5599736086055984,1.5599736086055986,,539.53,239472,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET34_age_2s/resnet34_age_2s.log
age_classification,4s,ResNet,resnet34,7327783,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET34_age_4s/resnet34_age_4s.log,,,,0.6473828174493743,1.4048490359317587,1.404849035931759,,275.35,134171,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET34_age_4s/resnet34_age_4s.log
age_classification,1s,ResNet,resnet50,16296504,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET50_age_1s/resnet50_age_1s.log,,,,0.5652426528733029,1.3860065317115222,1.3860065317115222,,930.26,476751,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET50_age_1s/resnet50_age_1s.log
age_classification,2s,ResNet,resnet50,16296504,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET50_age_2s/resnet50_age_2s.log,,,,0.5058211398409834,1.2382658515400549,1.2382658515400549,,417.66,239472,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET50_age_2s/resnet50_age_2s.log
age_classification,4s,ResNet,resnet50,16296504,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET50_age_4s/resnet50_age_4s.log,,,,0.665494033733072,1.4308606181663694,1.4308606181663697,,281.27,134171,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET50_age_4s/resnet50_age_4s.log
age_regression,1s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_1s/cnn_1s.log,,,,0.5420439600546197,1.4070237922940907,1.4070237922940905,512,929.22,476751,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_1s/cnn_1s.log
age_regression,2s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_2s/cnn_2s.log,,,,0.7207105632391261,1.5666132157412973,1.5666132157412975,192,547.75,239472,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_2s/cnn_2s.log
age_regression,4s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_4s/cnn_4s.log,,,,0.8226815034545467,1.7265280872915905,1.7265280872915905,128,342.03,134171,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_4s/cnn_4s.log
age_regression,1s,LaBraM,age_regression,5824937,final_logs/LaBraM/LABRAM_base_age_regression_1s/labram_base_age_regression_1s_resume2.log,NVIDIA L40S,1,final_logs/LaBraM/LABRAM_base_age_regression_1s/labram_base_age_regression_1s_resume2.log,1.3094,0.0203,0.0161,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/LABRAM_base_age_regression_1s/labram_base_age_regression_1s_resume2.log
age_regression,2s,LaBraM,age_regression,5824937,final_logs/LaBraM/LABRAM_base_age_regression_2s/labram_base_age_regression_2s.log,NVIDIA L40S,2,final_logs/LaBraM/LABRAM_base_age_regression_2s/labram_base_age_regression_2s.log,0.1712,0.0262,0.0188,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/LABRAM_base_age_regression_2s/labram_base_age_regression_2s.log
age_regression,4s,LaBraM,age_regression,5824937,final_logs/LaBraM/LABRAM_base_age_regression_4s/labram_base_age_regression_4s.log,NVIDIA L40S,1,final_logs/LaBraM/LABRAM_base_age_regression_4s/labram_base_age_regression_4s.log,0.2511,0.0497,0.0468,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/LABRAM_base_age_regression_4s/labram_base_age_regression_4s.log
