source_summary_path,source_dir,experiment_name,model_type,target_type,task_kind,success,description,total_time_s,training_time_s,evaluation_time_s,accuracy,f1_weighted,roc_auc,active_accuracy,passive_accuracy,mae,rmse,r2,active_mae,passive_mae,active_rmse,passive_rmse,active_r2,passive_r2,checkpoint_path,error,experiment_report_html,experiment_results_csv
final_logs/RESNET/RESNET18_gender_1s/experiment_summary.json,final_logs/RESNET/RESNET18_gender_1s,gender_resnet18_1s,gender_resnet,gender,classification,True,"ResNet18 gender classification with 1s segments (train on both, evaluate separately on active and passive)",9130.428754329681,8386.186226844788,744.2425215244293,0.7846779555784885,0.7891535416467688,0.888165205707382,0.812439472124655,0.7799655517606878,,,,,,,,,,./final_logs/checkpoints/gender_resnet18_1s_best.pth,,final_logs/RESNET/RESNET18_gender_1s/experiment_report.html,final_logs/RESNET/RESNET18_gender_1s/experiment_results.csv
final_logs/RESNET/RESNET18_gender_2s/experiment_summary.json,final_logs/RESNET/RESNET18_gender_2s,gender_resnet18_2s,gender_resnet,gender,classification,True,"ResNet18 gender classification with 2s segments (train on both, evaluate separately on active and passive)",11905.6997756958,11448.000138521194,457.6996319293976,0.8112555956437496,0.8147530483906296,0.9016242358229762,0.8383970071420473,0.8065655180519913,,,,,,,,,,./final_logs/checkpoints/gender_resnet18_2s_best.pth,,final_logs/RESNET/RESNET18_gender_2s/experiment_report.html,final_logs/RESNET/RESNET18_gender_2s/experiment_results.csv
final_logs/RESNET/RESNET18_gender_4s/experiment_summary.json,final_logs/RESNET/RESNET18_gender_4s,gender_resnet18_4s,gender_resnet,gender,classification,True,"ResNet18 gender classification with 4s segments (train on both, evaluate separately on active and passive)",7717.304844617844,7430.292342185974,287.01249599456787,0.8081850772521633,0.8112308832856447,0.8929544372364406,0.8316864766814646,0.8038367101800004,,,,,,,,,,./final_logs/checkpoints/gender_resnet18_4s_best.pth,,final_logs/RESNET/RESNET18_gender_4s/experiment_report.html,final_logs/RESNET/RESNET18_gender_4s/experiment_results.csv
final_logs/RESNET/RESNET34_gender_1s/experiment_summary.json,final_logs/RESNET/RESNET34_gender_1s,gender_resnet34_1s,gender_resnet34,gender,classification,True,"ResNet34 gender classification with 1s segments (train on both, evaluate separately on active and passive)",9518.318709135056,8736.267817258835,782.0508840084076,0.7920444844373687,0.7961345943374016,0.8848094134249856,0.8194932281051703,0.7873876261139245,,,,,,,,,,./final_logs/checkpoints/gender_resnet34_1s_best.pth,,final_logs/RESNET/RESNET34_gender_1s/experiment_report.html,final_logs/RESNET/RESNET34_gender_1s/experiment_results.csv
final_logs/RESNET/RESNET34_gender_2s/experiment_summary.json,final_logs/RESNET/RESNET34_gender_2s,gender_resnet34_2s,gender_resnet34,gender,classification,True,"ResNet34 gender classification with 2s segments (train on both, evaluate separately on active and passive)",14806.334917068481,14384.678755521774,421.65615606307983,0.8025865236854413,0.8065898094272389,0.9039167015329714,0.8273438385670558,0.7983084216506356,,,,,,,,,,./final_logs/checkpoints/gender_resnet34_2s_best.pth,,final_logs/RESNET/RESNET34_gender_2s/experiment_report.html,final_logs/RESNET/RESNET34_gender_2s/experiment_results.csv
final_logs/RESNET/RESNET34_gender_4s/experiment_summary.json,final_logs/RESNET/RESNET34_gender_4s,gender_resnet34_4s,gender_resnet34,gender,classification,True,"ResNet34 gender classification with 4s segments (train on both, evaluate separately on active and passive)",18776.48684334755,18422.277195453644,354.209636926651,0.7884118028486037,0.792684416143709,0.8916273954332716,0.8094419781373813,0.7845206761936726,,,,,,,,,,./final_logs2/checkpoints/gender_resnet34_4s_best.pth,,final_logs/RESNET/RESNET34_gender_4s/experiment_report.html,final_logs/RESNET/RESNET34_gender_4s/experiment_results.csv
final_logs/RESNET/RESNET50_gender_1s/experiment_summary.json,final_logs/RESNET/RESNET50_gender_1s,gender_resnet50_1s,gender_resnet50,gender,classification,True,"ResNet50 gender classification with 1s segments (train on both, evaluate separately on active and passive)",15449.457094192505,14693.78873705864,755.6683497428894,0.8038829493802845,0.8073594470725222,0.8934565835393411,0.8337597386641227,0.7988090330938641,,,,,,,,,,./final_logs3/checkpoints/gender_resnet50_1s_best.pth,,final_logs/RESNET/RESNET50_gender_1s/experiment_report.html,final_logs/RESNET/RESNET50_gender_1s/experiment_results.csv
final_logs/RESNET/RESNET50_gender_2s/experiment_summary.json,final_logs/RESNET/RESNET50_gender_2s,gender_resnet50_2s,gender_resnet50,gender,classification,True,"ResNet50 gender classification with 2s segments (train on both, evaluate separately on active and passive)",41166.117010354996,40627.44659757614,538.670401096344,0.8037474109708024,0.8076121156084735,0.9023933932094035,0.830404716018592,0.7991409877172018,,,,,,,,,,./final_logs4/checkpoints/gender_resnet50_2s_best.pth,,final_logs/RESNET/RESNET50_gender_2s/experiment_report.html,final_logs/RESNET/RESNET50_gender_2s/experiment_results.csv
final_logs/RESNET/RESNET50_gender_4s/experiment_summary.json,final_logs/RESNET/RESNET50_gender_4s,gender_resnet50_4s,gender_resnet50,gender,classification,True,"ResNet50 gender classification with 4s segments (train on both, evaluate separately on active and passive)",15352.243617296219,15074.407208919525,277.83640241622925,0.7820393378598952,0.7865346737568771,0.8890116747931152,0.8048594204973984,0.7778170320255781,,,,,,,,,,./final_logs5/checkpoints/gender_resnet50_4s_best.pth,,final_logs/RESNET/RESNET50_gender_4s/experiment_report.html,final_logs/RESNET/RESNET50_gender_4s/experiment_results.csv
final_logs/LaBraM/labram_gender_1s/log.txt,final_logs/LaBraM/labram_gender_1s,labram_gender_1s,labram,gender,classification,True,LaBraM fine-tuning (labram_gender_1s) — best epoch by val_accuracy,,,,0.8694196435875331,,,0.8931,0.8654,,,,,,,,,,,,,
final_logs/LaBraM/labram_gender_2s/log.txt,final_logs/LaBraM/labram_gender_2s,labram_gender_2s,labram,gender,classification,True,LaBraM fine-tuning (labram_gender_2s) — best epoch by val_accuracy,,,,0.8728486238224094,,,0.8981239999999999,0.8684810000000001,,,,,,,,,,,,,
final_logs/LaBraM/labram_gender_4s/log.txt,final_logs/LaBraM/labram_gender_4s,labram_gender_4s,labram,gender,classification,True,LaBraM fine-tuning (labram_gender_4s) — best epoch by val_accuracy,,,,0.8752538935388423,,,0.89511,0.87158,,,,,,,,,,,,,
